family_id,child_id,word_id_nr,word_id,word_hash,word_type_id,name,form,version,meaning,language,KEY-MEANING,NAME,HOMONYM,OVER-EXTENSION,CODER
281,673,5501,kroDsPfPD-fMQwfknzVF_,tbIRelnmknnhNtBCqfE14,1,WORD,Luli luli laj,0,Lu la lu,polski,RHYME,,,,JB
281,673,5591,3k_2eiMGS29JZS3Pu2fbf,miLFmd8NCuW81Vi9XaJb5,1,WORD,Nina,0,Nina (kuzynka) ,polski,PERSON,1,,,US
281,673,6135,8PEdSq70ncF0d4FGh2LsS,PaXyq4K99LRRrDkR4f78g,1,WORD,Haj,0,Hak,polski,HOOK,,,,US
281,673,6154,zZdHMP3ZdNWgkSUEg0TXl,d-_2od5PRQMvpaepPW7zO,1,WORD,Dudi,0,Duży ,polski,BIG,,,,US
281,673,6225,R__kXCRrJKIpT2EHIn8IV,AnytwABgHJN-B_wBDZQpE,1,WORD,Dyda,0,Dynia,polski,PUMPKIN,,,,US
281,673,6266,szMbrQUupJnWPcGGEZFrK,1Q2t46k7RV1L44CsLzT7T,1,WORD,Duzi,0,Duży ,polski,BIG,,,,US
281,673,6428,evwHtf3G_NzxFOcmRgzM3,kicrii6slOQmBl6FL0SX0,1,WORD,Duzi,0,Duży ,polski,BIG,,,,US
281,673,6514,wiaU1KxJrqhiQIblnz441,nOqGAuWYdrFdbFfTrmSrf,1,WORD,Blu,0,Blue niebieski ,"[""angielski - brytyjski""]",BLUE,,,,JB
281,673,6515,RuvadOcRD5ldVdWFpWb67,SGg5b5ux7bYBWv9PXcyOC,1,WORD,Pibu,0,Pikabu,"[""angielski - brytyjski""]",PEEK-A-BOO,,,,US
281,673,6689,-02_tiTUPhA1PuxkimnP5,YNZwCoZltX-GTSc1Vzx6w,1,WORD,Pla Pla Pla ,0,Hlap Hlap hlap,polski,SPLASH,,,,US
301,684,2011,3bNxsG8byN4r1NIR08ml7,MqVmNoFDdPLaO5JNqvPfe,1,WORD,Pociąg ,0,Pociąg ,polski,TRAIN,,,,US
301,684,2013,jUdA7eDkOz9UgGWdtXTJr,bI5XbKP7ivoMy4o6fQsGK,1,WORD,Kop,0,Kot,polski,CAT,,,,JB
